idestado,idmunicipio,nomcicloproductivo,anio,tmean_ciclo,tmin_ciclo_mean,tmax_ciclo_mean,dias_helada,gdd_ciclo,tmean_inicio,tmean_preseason,tmean_prev90,tmean_prev90_normal,tmean_prev90_anom,tmean_normal,tmean_ciclo_anom,tmean_ciclo_anom_z,gdd_normal,gdd_anom,tmean_inicio_anom,tmean_preseason_anom,n_dias_ventana,n_dias_con_dato,n_dias_prev90,ventana_incompleta,prev90_incompleta
1,1,OI,2016,16.650796703296702,8.388626373626373,24.912967032967032,1.0,1217.63,16.305737704918034,20.320327868852456,20.6595,20.432361111111113,0.2271388888888879,16.917764427925512,-0.2669677246288096,-0.6788354581843049,1261.85625,-44.226249999999936,0.3572411202185801,0.3711577868852416,182,182,90,False,False
1,1,PV,2016,21.54677595628415,14.091693989071036,29.00185792349727,0.0,2113.06,21.827540983606553,16.758166666666664,15.601388888888891,16.496673611111113,-0.8952847222222218,21.587001366120216,-0.04022540983606504,-0.13759603505012954,2120.5812499999997,-7.521249999999782,0.609252049180327,-0.7673697033898321,183,183,90,False,False
1,1,OI,2017,17.306833333333337,8.6655,25.948166666666665,0.0,1315.23,16.441,20.032622950819675,20.37327777777778,20.432361111111113,-0.0590833333333336,16.917764427925512,0.3890689054078251,0.9893097341074066,1261.85625,53.37374999999997,0.4925034153005452,0.08345286885246139,181,180,90,False,False
1,1,PV,2017,21.711311475409833,14.029945355191254,29.392677595628417,0.0,2143.169999999999,21.85639344262295,17.722711864406783,16.827333333333335,16.496673611111113,0.3306597222222223,21.587001366120216,0.12431010928961683,0.4252182445028575,2120.5812499999997,22.588749999999436,0.6381045081967223,0.19717549435028658,183,183,90,False,False
1,1,OI,2018,17.23582872928177,8.450386740331492,26.02127071823205,0.0,1311.62,15.96672131147541,19.563852459016392,20.224888888888888,20.432361111111113,-0.2074722222222256,16.917764427925512,0.31806430135625874,0.808761905745166,1261.85625,49.763749999999845,0.018224726775956768,-0.38531762295082217,181,181,90,False,False
1,1,PV,2018,21.338169398907105,13.803879781420765,28.87245901639344,0.0,2074.885,21.741147540983608,18.526016949152545,16.932444444444446,16.496673611111113,0.4357708333333328,21.587001366120216,-0.24883196721311052,-0.8511608016371456,2120.5812499999997,-45.69624999999951,0.5228586065573815,1.000480579096049,183,183,90,False,False
1,1,OI,2019,16.550027624309394,8.017900552486187,25.08215469613259,1.0,1210.51,14.272049180327867,19.65737704918033,20.067000000000004,20.432361111111113,-0.3653611111111097,16.917764427925512,-0.3677368036161184,-0.9350672704764873,1261.85625,-51.346250000000055,-1.6764474043715865,-0.2917930327868845,181,181,90,False,False
1,1,PV,2019,21.609781420765028,13.893715846994535,29.32584699453551,0.0,2124.59,21.020000000000003,18.18364406779661,16.99588888888889,16.496673611111113,0.4992152777777754,21.587001366120216,0.022780054644812253,0.07792202018887058,2120.5812499999997,4.008750000000418,-0.1982889344262233,0.6581076977401139,183,183,90,False,False
1,1,OI,2020,17.421950549450546,8.635219780219781,26.208681318681315,0.0,1350.795,16.465245901639346,20.52598360655738,21.080722222222224,20.432361111111113,0.6483611111111109,16.917764427925512,0.5041861215250343,1.282025448175392,1261.85625,88.93875000000003,0.516749316939892,0.5768135245901647,182,182,90,False,False
1,1,PV,2020,21.82658469945355,13.732131147540985,29.921038251366117,0.0,2164.265,21.77122950819672,17.978666666666662,16.802833333333332,16.496673611111113,0.306159722222219,21.587001366120216,0.2395833333333357,0.8195246950897276,2120.5812499999997,43.683750000000146,0.552940573770492,0.4531302966101656,183,183,90,False,False
1,1,OI,2021,16.328805555555554,6.881388888888889,25.77622222222222,4.0,1181.16,16.070333333333334,20.05049180327869,20.578388888888888,20.432361111111113,0.14602777777777476,16.917764427925512,-0.5889588723699575,-1.4975824007672083,1261.85625,-80.69624999999996,0.12183674863388028,0.10132172131147499,181,180,90,False,False
1,1,PV,2021,21.03592896174863,13.405901639344265,28.665956284153005,0.0,2020.855,20.802868852459017,16.14813559322034,15.575555555555557,16.496673611111113,-0.9211180555555565,21.587001366120216,-0.5510724043715847,-1.8850119408625317,2120.5812499999997,-99.72624999999971,-0.41542008196720914,-1.3774007768361578,183,183,90,False,False
1,1,OI,2022,17.02988950276243,7.327955801104973,26.73182320441989,0.0,1273.85,16.08704918032787,20.11450819672131,20.39177777777778,20.432361111111113,-0.04058333333333408,16.917764427925512,0.1121250748369178,0.2851074101062131,1261.85625,11.993749999999864,0.1385525956284166,0.1653381147540962,181,181,90,False,False
1,1,PV,2022,21.97934426229508,13.987322404371586,29.97136612021858,0.0,2192.22,22.606557377049175,16.83686440677966,16.184055555555556,16.496673611111113,-0.3126180555555571,21.587001366120216,0.3923428961748634,1.3420578463651718,2120.5812499999997,71.63875000000007,1.3882684426229481,-0.6886719632768354,183,183,90,False,False
1,1,OI,2023,16.817983425414365,7.641215469613259,25.99475138121547,0.0,1234.0549999999998,15.979836065573773,19.32819672131148,20.083333333333332,20.432361111111113,-0.34902777777778127,16.917764427925512,-0.09978100251114697,-0.25371936870616824,1261.85625,-27.80125000000021,0.03133948087431904,-0.6209733606557357,181,181,90,False,False
1,1,PV,2023,21.64811475409836,14.175573770491802,29.12065573770492,0.0,2131.605,18.1205737704918,18.05008474576271,17.05388888888889,16.496673611111113,0.5572152777777752,21.587001366120216,0.0611133879781427,0.20904597140321582,2120.5812499999997,11.023750000000291,-3.097715163934428,0.5245483757062139,183,183,90,False,False
