LON,LAT,EDO,CLAVE,ESTACION,ago-13
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",59.12
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",110.2
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",88.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",49.4
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",64.43
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",103.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",66.6
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",66.63
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",98.32
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",59.01
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",59.31
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",72.9
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",78.02
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",59.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",65.1
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",106
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",77.1
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",82.01
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",43.62
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",106.9
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",143.2
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",66.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",45
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",77.32
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",30.2
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",152.4
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",35.5
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",20.7
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",1.8
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",19.6
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",16
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",22.09
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",25.71
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",44
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.5
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",26.05
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",82.4
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",234.03
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",117.7
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",60
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",40.8
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",94.61
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",7.83
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",76
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",5
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",93
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",70.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",23.4
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",49.5
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",63.5
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",24
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",26
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",71
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",117.7
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",111.5
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",48.2
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",117.7
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",86.1
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",113.5
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",117.7
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",24.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",207.8
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",221.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",229.8
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",186.6
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",389
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",364.02
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",298.8
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",225.51
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",288
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",116.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",415.7
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",237.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",259.51
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",349
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",111.4
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",60.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",74
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",102.7
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",128.02
-106.388333,26.474167,CHIH,C08061,"El Vergel, Chih.",132.6
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",398
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",141
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",249
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",60
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",97.45
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",129.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",39.03
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",148.7
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",29.01
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",173.8
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",45.75
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",146
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",4.8
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",33.51
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",45
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",136.23
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",147.4
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",204.6
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",66.4
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",22.04
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",69.04
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",63
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",51.52
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",99.6
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",5
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",6.12
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",47.5
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",83.33
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",38.7
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",151.7
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",249
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",107.4
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",111.93
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",92.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",183.1
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",24.05
-106.505,30.615556,CHIH,VillaAhumada,"Villa Ahumada, Chih. SMN*",22.8
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",59.52
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",364
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",155.32
