LON,LAT,EDO,CLAVE,ESTACION,sep-17
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",133.9
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",164.7
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",138.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",180.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",106.1
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",135.7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",181.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",123.1
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",197.9
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",166.4
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",167.6
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",127.52
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",214.2
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",216
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",155.5
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",140.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",163.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",156.8
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",168.7
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",152.8
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",143.5
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",163.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",151
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",200
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",78.6
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",122.5
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.8
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",45.12
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1.1
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0.5
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",1.2
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",6.2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",1.11
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",10.72
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",14
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",5.6
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",16.2
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",52.7
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",44.9
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",6.5
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",18.01
