LON,LAT,EDO,CLAVE,ESTACION,jun-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",99.77
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",150
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",44.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",149.9
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",172.01
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",90.6
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",107.14
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",62.93
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",143.34
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",99.81
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",105.9
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",90.34
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",65.8
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",115.5
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",77
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",90.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",125.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",128.51
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",66.53
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",102.22
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",173.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",76
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",119
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",4.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.8
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",7.8
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",10
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",9.82
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",19.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",3
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",10
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",12
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",12.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",8
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.01
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",306.61
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",369.25
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",675.7
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",216.4
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",566.51
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",516
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",369.8
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",571.5
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",365.3
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",619
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",834.7
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",446.1
-92.098056,18.254722,CAMP,PALIZADACA,"Palizada, Camp. SMN*",309.3
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",645.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",356.6
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",438.42
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",264.8
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",44
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",15.5
