LON,LAT,EDO,CLAVE,ESTACION,jul-14
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",20.7
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",226.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",130
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",84.25
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",233
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",190.61
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",249
-106.388333,26.474167,CHIH,C08061,"El Vergel, Chih.",287.2
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",152
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",178
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",237.1
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",51.8
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",59.03
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",137.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",21.12
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",25.6
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",222.8
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",14.74
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",231.5
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",7.75
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",168
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",16.2
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",8.5
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",21.04
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",179.72
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",183.1
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",198.7
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",38.4
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",55.02
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",62.02
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",70.5
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",18.06
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",169.43
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",109.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",40
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",34.05
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",97.2
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",14.51
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",171.82
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",237.3
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",80.6
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",93.01
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",80.53
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",203.8
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",57.07
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",74.6
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",81.53
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",225
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",85.11
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",113.7
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",76.7
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",147.8
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",156.2
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",2
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",197.9
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",282.52
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",46.62
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",57.8
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",179.8
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",81.9
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",18.74
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",11.31
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",51.69
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",28.6
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",241.52
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",150.3
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",230.53
