LON,LAT,EDO,CLAVE,ESTACION,jul-18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",56.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",43
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",28.8
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",80.9
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",108.03
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",108.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",55.9
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",82.82
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",64.3
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",29.9
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",55.7
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",196.8
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",98.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",58
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",74.4
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",27.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",56
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",53.4
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",70.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",61
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",22.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",29
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",67
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",106
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",7.3
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",4
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.51
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0.51
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",17.5
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.04
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",2.6
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",6.9
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",7.6
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.6
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.06
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",18
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",8.68
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",3.8
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",1
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",1.72
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",10.61
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",19.52
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",1
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",5
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",52
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",4.2
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",3.02
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",50.2
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",11.6
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",323.83
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",196.8
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",165.01
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",129
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",221.62
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",104.82
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",270.71
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",197.9
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",64.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",125.9
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",152
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",247.91
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",69.6
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",142.6
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",174.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",135.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",56.25
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",256.9
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",138.51
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",150.21
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",156
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",123.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",61.4
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",22.4
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",87.51
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",26.51
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",34.56
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",58.3
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",223.8
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",17
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",63.87
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",165.03
-105.382222,27.576389,CHIH,Colina,"Colina, Chih. SGT*",7.75
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",27.51
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",41.03
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",124.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",174.41
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",118.32
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",188.5
-108.427222,30.838889,CHIH,Janos,"Janos, Chih. SMN*",28.4
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",23.7
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",33.37
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",100.84
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",45.52
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",68.31
-106.486111,28.803333,CHIH,Majalca,"Cumbres de Majalca, Chih. SMN*",155.6
-104.43,29.583333,CHIH,OjinagaC,"Ojinaga Río Conchos, Chih. CILA*",0.5
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",3
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",54.73
