LON,LAT,EDO,CLAVE,ESTACION,may-16
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",21.77
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",6
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",20.75
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",13
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",3.61
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",17.06
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",9
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",11.71
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",18.81
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",3.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",1.2
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",6.11
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",26.54
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",16.8
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",30.02
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",2.03
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",24.76
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",25
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",22.22
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",22.11
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",16.51
-107.491667,29.035556,CHIH,SOTOMAINEZ,"Soto Mainez, Chih. INIFAP*",0.4
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",0
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",2.3
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0.03
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",10.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",4.6
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",25
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",23.03
