LON,LAT,EDO,CLAVE,ESTACION,ago-18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",128.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",77.5
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",63.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",180.9
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",78.33
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",84.4
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",70.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",84
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",129.8
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",95.7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",91.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",103.23
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",108.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",89.7
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",114
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",61.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",147
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",95.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",52
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",73.7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",73.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",78.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",69
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",61.3
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",8.1
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.6
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",3.9
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.31
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0.31
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",55.01
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.76
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1
