LON,LAT,EDO,CLAVE,ESTACION,sep-18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",112.4
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",192
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",69.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",223.9
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",145.28
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",184.2
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",76.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",189.2
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",190.7
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",124.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",76
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",176.73
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",139.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",230
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",171.2
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",80.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",141
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",58.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",78.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",68.4
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",86.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",124
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",161
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",180.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",2.8
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",2.8
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.25
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",9.7
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",2.4
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",4.3
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",94.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",324.1
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",106
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",142.82
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",52
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",11.5
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",112.34
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",103.82
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",219.24
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",11.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",70.03
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",194.5
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",134.9
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",371
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",220.38
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",77.91
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",142
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",10.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",299.63
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",214.31
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",224.04
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",223
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",189.34
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",297.41
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",180.6
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",120
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",274.7
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",316.6
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",230.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",325.91
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",170.9
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",79.6
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",214
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",103.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",0.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",184.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",174.8
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",130.01
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",271.5
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",81
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",131.7
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",42.2
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",51.33
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",67.01
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",12.45
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",75
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",211.92
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",59
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",85.5
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",192.51
-105.382222,27.576389,CHIH,Colina,"Colina, Chih. SGT*",75.75
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",88
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",67.02
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",146.6
