LON,LAT,EDO,CLAVE,ESTACION,feb-15
-107.395556,28.525833,CHIH,BASUCHIL,"Basuchil, Chih. INIFAP*",18
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",75.2
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",51.2
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",39.6
-106.953056,28.065,CHIH,BUENAVISTACH2,"Buena Vista 2, Chih. INIFAP*",27
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",6.8
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",18.4
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",3.92
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",12.44
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",7.2
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",28.1
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",45.6
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",25.25
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",62
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",46.6
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",12.6
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",7.5
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",35.2
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",38.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0.8
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",13.5
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",25.04
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",2.01
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",23.01
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",24.89
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",17
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",29
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",1
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",19.5
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",23.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",13.01
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",28
-107.491667,29.035556,CHIH,SOTOMAINEZ,"Soto Mainez, Chih. INIFAP*",8.6
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",70.8
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",0
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",20.4
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",20.31
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",9
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",63.7
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",20.03
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",4
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",27.04
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",56
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0.01
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",277.7
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",0
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",0.01
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0.01
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.2
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",1.2
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",0.1
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",2
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",1.94
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",1.75
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",0
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",0
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",0
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",0
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",0
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",25.8
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",19
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",0
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",126
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",101.1
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",0
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",0
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",148.2
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",63.22
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",0.8
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",1.2
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",58.8
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",52.22
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",51.9
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",0
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",0
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",216.3
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",96
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",1
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",174.7
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",0.4
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",47.8
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",92.8
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",0.5
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",241.4
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",3.3
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",1.02
