LON,LAT,EDO,CLAVE,ESTACION,ago-16
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",193
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",176.3
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",174.8
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",260.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",137.53
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",236.7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",167
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",233.7
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",229.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",167.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",171.1
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",232.43
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",239.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",139.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",173.8
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",119.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",214.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",163.6
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",200.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",171.7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",132.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",177.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",166
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",164.6
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",147.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",155
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",40.8
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",28.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",86
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",116
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",55.8
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",33.2
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.52
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",25.82
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",93.25
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",179.3
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",33.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",247
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",155
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",92.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",181.6
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",155
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",110.11
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",155
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",22
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",175.5
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",139.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",140
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",184.1
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",206
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",257.02
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",182.31
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",256.1
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",205.3
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",138
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",63.2
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",236.9
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",212.92
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",203.61
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",155.13
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",174.2
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",310
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",330
-107.395556,28.525833,CHIH,BASUCHIL,"Basuchil, Chih. INIFAP*",138.6
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",370.6
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",171.9
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",383.01
-106.953056,28.065,CHIH,BUENAVISTACH2,"Buena Vista 2, Chih. INIFAP*",173.2
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",282
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",223.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",289.4
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",117
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",139.03
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",57.15
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",9.16
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",110
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",17
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",236.49
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",64.51
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",151.82
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",225.25
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",227.83
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",181.03
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",110.02
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",185
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",142.11
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",328.62
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",172.6
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",43.4
