LON,LAT,EDO,CLAVE,ESTACION,oct-15
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",91
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",202.5
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",93
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",110.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",69.3
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",76.9
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",78.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",89.8
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",90.7
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",126.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",111.2
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",105.53
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",103
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",143
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",91.4
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",135
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",77
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",94.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",168.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",115.01
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",172.8
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",262
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",99
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",120
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",93
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3.8
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",13.11
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0.77
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",7.34
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",5.3
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",10.81
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",14.61
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",4
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",9.12
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",9.65
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1.2
