LON,LAT,EDO,CLAVE,ESTACION,jul-16
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",255.7
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",244
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",195.9
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",232.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",168.56
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",280.2
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",150.8
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",261.4
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",136
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",131.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",91.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",292.31
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",205.9
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",140
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",195.6
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",65.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",117.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",75.1
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",147
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",94.7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",141.5
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",94
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",194
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",112.8
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",105.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",2.51
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",7.52
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0.25
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",14.5
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",58.5
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.1
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",5
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",12
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",5.5
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.4
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.03
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.02
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",16.02
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",16.1
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.03
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",38
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",58.5
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",2
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",130
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",58.5
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",21.3
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",58.5
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",4.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",243
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",86.6
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",322.51
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",210.9
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",245.52
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",316.01
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",180.03
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",277.7
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",208.41
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",146
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",199.3
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",409.7
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",78.91
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",333.71
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",166.54
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",61.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",133.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",70.5
-107.395556,28.525833,CHIH,BASUCHIL,"Basuchil, Chih. INIFAP*",87
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",388.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",148.12
