punto,lat,lon,elevation
0,18.215588,-96.975427,1934.0
1,18.207131,-96.999644,2229.0
2,18.215655,-96.999644,2002.0
3,18.207131,-96.989855,2184.0
4,18.215655,-96.989855,2283.0
5,18.22418,-96.989855,2092.0
6,18.207131,-96.980066,1961.0
7,18.215655,-96.980066,1986.0
8,18.22418,-96.980066,2055.0
9,18.207131,-96.970278,1952.0
10,18.215655,-96.970278,2067.0
11,18.22418,-96.970278,1700.0
12,18.207131,-96.960489,1703.0
13,18.215655,-96.960489,1840.0
14,18.22418,-96.960489,1748.0
15,18.215655,-96.9507,1569.0
