punto,lat,lon,elevation
0,16.212331,-97.238466,1983.0
1,16.187402,-97.26167,1297.0
2,16.20217,-97.26167,1745.0
3,16.216938,-97.26167,1977.0
4,16.231707,-97.26167,1668.0
5,16.187402,-97.246088,1476.0
6,16.20217,-97.246088,1662.0
7,16.216938,-97.246088,1920.0
8,16.231707,-97.246088,1768.0
9,16.187402,-97.230507,1565.0
10,16.20217,-97.230507,1609.0
11,16.216938,-97.230507,1876.0
12,16.231707,-97.230507,1914.0
13,16.187402,-97.214925,1348.0
14,16.20217,-97.214925,1215.0
15,16.216938,-97.214925,1582.0
16,16.231707,-97.214925,1921.0
