punto,lat,lon,elevation
0,17.803908,-97.428944,2204.0
1,17.789262,-97.445036,2440.0
2,17.799218,-97.445036,2314.0
3,17.809174,-97.445036,2239.0
4,17.81913,-97.445036,2180.0
5,17.789262,-97.433826,2467.0
6,17.799218,-97.433826,2380.0
7,17.809174,-97.433826,2231.0
8,17.81913,-97.433826,2189.0
9,17.789262,-97.422616,2173.0
10,17.799218,-97.422616,2178.0
11,17.809174,-97.422616,2232.0
12,17.81913,-97.422616,2209.0
13,17.789262,-97.411407,2260.0
14,17.799218,-97.411407,2121.0
15,17.809174,-97.411407,2168.0
16,17.81913,-97.411407,2194.0
