punto,lat,lon,elevation
0,19.946664,-103.776106,2053.0
1,19.858762,-103.842036,1897.0
2,19.917299,-103.842036,2073.0
3,19.975836,-103.842036,2207.0
4,19.858762,-103.786896,1863.0
5,19.917299,-103.786896,2026.0
6,19.975836,-103.786896,2370.0
7,20.034372,-103.786896,2441.0
8,19.858762,-103.731757,2317.0
9,19.917299,-103.731757,2157.0
10,19.975836,-103.731757,2302.0
11,20.034372,-103.731757,2422.0
12,19.858762,-103.676617,2234.0
13,19.917299,-103.676617,2294.0
14,19.975836,-103.676617,2362.0
15,20.034372,-103.676617,2568.0
