punto,lat,lon,elevation
0,17.638884,-97.699671,1830.0
1,17.6195,-97.729631,1905.0
2,17.632437,-97.729631,1841.0
3,17.6195,-97.715793,1809.0
4,17.632437,-97.715793,1741.0
5,17.645374,-97.715793,1706.0
6,17.6195,-97.701956,1842.0
7,17.632437,-97.701956,1683.0
8,17.645374,-97.701956,1771.0
9,17.658312,-97.701956,1748.0
10,17.6195,-97.688118,1648.0
11,17.632437,-97.688118,1739.0
12,17.645374,-97.688118,1881.0
13,17.658312,-97.688118,1725.0
14,17.6195,-97.67428,1866.0
15,17.632437,-97.67428,2008.0
16,17.645374,-97.67428,1881.0
