punto,lat,lon,elevation
0,25.735842,-100.266495,496.0
1,25.735887,-100.317632,526.0
2,25.753218,-100.317632,523.0
3,25.718556,-100.298485,523.0
4,25.735887,-100.298485,509.0
5,25.753218,-100.298485,499.0
6,25.718556,-100.279337,507.0
7,25.735887,-100.279337,495.0
8,25.753218,-100.279337,490.0
9,25.718556,-100.26019,491.0
10,25.735887,-100.26019,488.0
11,25.753218,-100.26019,478.0
12,25.718556,-100.241043,484.0
13,25.735887,-100.241043,473.0
14,25.718556,-100.221896,470.0
15,25.735887,-100.221896,467.0
