punto,lat,lon,elevation
0,17.96725,-97.879101,1702.0
1,17.932017,-97.921322,1669.0
2,17.955503,-97.921322,1813.0
3,17.978988,-97.921322,1713.0
4,18.002473,-97.921322,1793.0
5,17.932017,-97.893795,1851.0
6,17.955503,-97.893795,1811.0
7,17.978988,-97.893795,1729.0
8,18.002473,-97.893795,1608.0
9,17.932017,-97.866268,1853.0
10,17.955503,-97.866268,1701.0
11,17.978988,-97.866268,1626.0
12,18.002473,-97.866268,1571.0
13,17.932017,-97.838741,1851.0
14,17.955503,-97.838741,1682.0
15,17.978988,-97.838741,1674.0
