punto,lat,lon,elevation
0,32.423586,-116.272726,1096.0
1,32.317425,-116.629387,574.0
2,32.423644,-116.629387,436.0
3,32.529863,-116.629387,548.0
4,32.317425,-116.503524,547.0
5,32.423644,-116.503524,611.0
6,32.529863,-116.503524,957.0
7,32.317425,-116.37766,608.0
8,32.423644,-116.37766,1015.0
9,32.529863,-116.37766,948.0
10,32.317425,-116.251796,1061.0
11,32.423644,-116.251796,1057.0
12,32.529863,-116.251796,1074.0
13,32.317425,-116.125932,1403.0
14,32.423644,-116.125932,1302.0
15,32.529863,-116.125932,1243.0
16,32.423644,-116.000069,1365.0
17,32.529863,-116.000069,667.0
