punto,lat,lon,elevation
0,18.368901,-98.310341,1013.0
1,18.297945,-98.391599,1123.0
2,18.345169,-98.391599,998.0
3,18.392393,-98.391599,1118.0
4,18.297945,-98.340569,1413.0
5,18.345169,-98.340569,1161.0
6,18.392393,-98.340569,1160.0
7,18.439617,-98.340569,1187.0
8,18.297945,-98.289539,1117.0
9,18.345169,-98.289539,1052.0
10,18.392393,-98.289539,1177.0
11,18.439617,-98.289539,1071.0
12,18.297945,-98.238509,1173.0
13,18.345169,-98.238509,1130.0
14,18.392393,-98.238509,1114.0
15,18.297945,-98.187479,1282.0
16,18.345169,-98.187479,1547.0
