punto,lat,lon,elevation
0,17.579145,-97.479764,2447.0
1,17.55672,-97.496393,2538.0
2,17.568298,-97.496393,2527.0
3,17.579876,-97.496393,2485.0
4,17.591454,-97.496393,2380.0
5,17.603033,-97.496393,2391.0
6,17.55672,-97.483736,2412.0
7,17.568298,-97.483736,2467.0
8,17.579876,-97.483736,2481.0
9,17.591454,-97.483736,2561.0
10,17.603033,-97.483736,2534.0
11,17.55672,-97.47108,2361.0
12,17.568298,-97.47108,2457.0
13,17.579876,-97.47108,2473.0
14,17.591454,-97.47108,2481.0
15,17.603033,-97.47108,2508.0
