punto,lat,lon,elevation
0,17.589783,-97.528149,2417.0
1,17.556765,-97.547393,2327.0
2,17.571423,-97.547393,2392.0
3,17.586081,-97.547393,2416.0
4,17.600739,-97.547393,2258.0
5,17.615396,-97.547393,2187.0
6,17.556765,-97.53058,2447.0
7,17.571423,-97.53058,2434.0
8,17.586081,-97.53058,2405.0
9,17.600739,-97.53058,2345.0
10,17.615396,-97.53058,2282.0
11,17.556765,-97.513767,2329.0
12,17.571423,-97.513767,2319.0
13,17.586081,-97.513767,2298.0
14,17.600739,-97.513767,2263.0
15,17.615396,-97.513767,2379.0
