punto,lat,lon,elevation
0,17.342846,-97.606222,2381.0
1,17.336329,-97.621685,2269.0
2,17.348631,-97.621685,2312.0
3,17.360933,-97.621685,2324.0
4,17.324027,-97.611227,2372.0
5,17.336329,-97.611227,2271.0
6,17.348631,-97.611227,2280.0
7,17.360933,-97.611227,2377.0
8,17.324027,-97.60077,2366.0
9,17.336329,-97.60077,2393.0
10,17.348631,-97.60077,2425.0
11,17.360933,-97.60077,2413.0
12,17.324027,-97.590312,2354.0
13,17.336329,-97.590312,2275.0
14,17.348631,-97.590312,2263.0
15,17.360933,-97.590312,2209.0
