punto,lat,lon,elevation
0,20.791366,-103.491079,1591.0
1,20.667432,-103.593276,1640.0
2,20.750133,-103.593276,1564.0
3,20.832835,-103.593276,1434.0
4,20.915536,-103.593276,1317.0
5,20.667432,-103.52152,2067.0
6,20.750133,-103.52152,1652.0
7,20.832835,-103.52152,1559.0
8,20.915536,-103.52152,1617.0
9,20.667432,-103.449764,1692.0
10,20.750133,-103.449764,1628.0
11,20.832835,-103.449764,1615.0
12,20.915536,-103.449764,1542.0
13,20.750133,-103.378007,1554.0
14,20.832835,-103.378007,1523.0
15,20.915536,-103.378007,1479.0
