punto,lat,lon,elevation
0,19.475591,-98.855396,2333.0
1,19.475896,-98.972583,2237.0
2,19.435366,-98.916265,2240.0
3,19.475896,-98.916265,2240.0
4,19.516425,-98.916265,2236.0
5,19.435366,-98.859947,2358.0
6,19.475896,-98.859947,2312.0
7,19.516425,-98.859947,2268.0
8,19.435366,-98.803629,2793.0
9,19.475896,-98.803629,2511.0
10,19.516425,-98.803629,2470.0
11,19.435366,-98.747311,3465.0
12,19.475896,-98.747311,3113.0
13,19.516425,-98.747311,2834.0
14,19.435366,-98.690994,3757.0
15,19.475896,-98.690994,3406.0
