punto,lat,lon,elevation
0,20.293353,-102.686524,1532.0
1,20.243401,-102.720593,1524.0
2,20.276715,-102.720593,1524.0
3,20.310029,-102.720593,1640.0
4,20.343343,-102.720593,1540.0
5,20.243401,-102.691376,1526.0
6,20.276715,-102.691376,1526.0
7,20.310029,-102.691376,1651.0
8,20.343343,-102.691376,1713.0
9,20.243401,-102.66216,1526.0
10,20.276715,-102.66216,1527.0
11,20.310029,-102.66216,1545.0
12,20.343343,-102.66216,1557.0
13,20.243401,-102.632943,1525.0
14,20.276715,-102.632943,1528.0
15,20.310029,-102.632943,1539.0
