punto,lat,lon,elevation
0,20.410333,-99.40318,1942.0
1,20.348344,-99.490573,2594.0
2,20.38963,-99.490573,2494.0
3,20.430915,-99.490573,2268.0
4,20.4722,-99.490573,2271.0
5,20.348344,-99.438892,2264.0
6,20.38963,-99.438892,2038.0
7,20.430915,-99.438892,2042.0
8,20.4722,-99.438892,1898.0
9,20.348344,-99.38721,2076.0
10,20.38963,-99.38721,1919.0
11,20.430915,-99.38721,1882.0
12,20.4722,-99.38721,1806.0
13,20.348344,-99.335528,1991.0
14,20.38963,-99.335528,1940.0
15,20.430915,-99.335528,1913.0
16,20.4722,-99.335528,1841.0
