punto,lat,lon,elevation
0,25.605074,-107.29993,825.0
1,25.246281,-107.627435,162.0
2,25.425597,-107.627435,323.0
3,25.784228,-107.627435,1612.0
4,25.246281,-107.461907,266.0
5,25.425597,-107.461907,395.0
6,25.604913,-107.461907,1157.0
7,25.784228,-107.461907,1756.0
8,25.963544,-107.461907,562.0
9,25.246281,-107.296379,698.0
10,25.425597,-107.296379,454.0
11,25.604913,-107.296379,956.0
12,25.784228,-107.296379,660.0
13,25.963544,-107.296379,1586.0
14,25.604913,-107.130851,1048.0
15,25.784228,-107.130851,1511.0
