punto,lat,lon,elevation
0,18.14271,-96.869155,1530.0
1,18.133755,-96.878488,1732.0
2,18.139279,-96.878488,1707.0
3,18.144803,-96.878488,1574.0
4,18.133755,-96.872167,1588.0
5,18.139279,-96.872167,1561.0
6,18.144803,-96.872167,1601.0
7,18.150327,-96.872167,1326.0
8,18.133755,-96.865847,1485.0
9,18.139279,-96.865847,1377.0
10,18.144803,-96.865847,1533.0
11,18.150327,-96.865847,1362.0
12,18.133755,-96.859526,1250.0
13,18.139279,-96.859526,1270.0
14,18.144803,-96.859526,1293.0
15,18.150327,-96.859526,1350.0
