punto,lat,lon,elevation
0,25.072261,-106.543,1261.0
1,25.010012,-106.626826,1341.0
2,25.072407,-106.626826,1501.0
3,25.134802,-106.626826,1030.0
4,25.010012,-106.542862,1801.0
5,25.072407,-106.542862,1256.0
6,25.134802,-106.542862,1436.0
7,25.010012,-106.458898,1812.0
8,25.072407,-106.458898,1790.0
9,25.134802,-106.458898,2723.0
10,25.072407,-106.374934,2607.0
11,25.010012,-106.290971,2560.0
12,25.072407,-106.290971,2597.0
13,25.134802,-106.290971,2201.0
14,25.010012,-106.207007,2193.0
15,25.072407,-106.207007,2326.0
