punto,lat,lon,elevation
0,16.305372,-96.043751,1268.0
1,16.24986,-96.09167,2571.0
2,16.278209,-96.09167,2292.0
3,16.334908,-96.09167,1490.0
4,16.24986,-96.065385,2095.0
5,16.278209,-96.065385,1808.0
6,16.306558,-96.065385,1566.0
7,16.334908,-96.065385,1850.0
8,16.363257,-96.065385,1604.0
9,16.24986,-96.039101,2054.0
10,16.278209,-96.039101,1616.0
11,16.306558,-96.039101,1183.0
12,16.334908,-96.039101,1481.0
13,16.363257,-96.039101,1201.0
14,16.306558,-96.012816,1104.0
15,16.334908,-96.012816,994.0
16,16.363257,-96.012816,1234.0
