punto,lat,lon,elevation
0,19.611115,-101.540736,2236.0
1,19.585009,-101.620881,2084.0
2,19.610842,-101.620881,2221.0
3,19.636676,-101.620881,2037.0
4,19.585009,-101.588963,2104.0
5,19.610842,-101.588963,2272.0
6,19.636676,-101.588963,2055.0
7,19.585009,-101.557046,2051.0
8,19.610842,-101.557046,2384.0
9,19.636676,-101.557046,2037.0
10,19.585009,-101.525128,2076.0
11,19.610842,-101.525128,2128.0
12,19.636676,-101.525128,2073.0
13,19.585009,-101.493211,2163.0
14,19.610842,-101.493211,2293.0
15,19.636676,-101.493211,2211.0
16,19.585009,-101.461293,2170.0
17,19.610842,-101.461293,2336.0
18,19.636676,-101.461293,2354.0
