punto,lat,lon,elevation
0,17.383942,-96.295612,1454.0
1,17.376981,-96.311371,1051.0
2,17.389081,-96.311371,764.0
3,17.401182,-96.311371,767.0
4,17.36488,-96.300899,1162.0
5,17.376981,-96.300899,1360.0
6,17.389081,-96.300899,1168.0
7,17.401182,-96.300899,1218.0
8,17.36488,-96.290427,1435.0
9,17.376981,-96.290427,1806.0
10,17.389081,-96.290427,1102.0
11,17.401182,-96.290427,1457.0
12,17.36488,-96.279955,1825.0
13,17.376981,-96.279955,1997.0
14,17.389081,-96.279955,1556.0
15,17.401182,-96.279955,1684.0
