punto,lat,lon,elevation
0,20.320343,-104.281026,1629.0
1,20.250691,-104.359424,1848.0
2,20.297123,-104.359424,1740.0
3,20.343555,-104.359424,2095.0
4,20.250691,-104.308665,1444.0
5,20.297123,-104.308665,1567.0
6,20.343555,-104.308665,1618.0
7,20.389987,-104.308665,1762.0
8,20.250691,-104.257906,1445.0
9,20.297123,-104.257906,1486.0
10,20.343555,-104.257906,1504.0
11,20.389987,-104.257906,1542.0
12,20.250691,-104.207147,1458.0
13,20.297123,-104.207147,1528.0
14,20.343555,-104.207147,1691.0
15,20.389987,-104.207147,1606.0
