punto,lat,lon,elevation
0,21.002878,-99.313494,1424.0
1,20.906657,-99.361349,1933.0
2,20.954788,-99.361349,1780.0
3,21.002919,-99.361349,1911.0
4,21.051051,-99.361349,1044.0
5,21.099182,-99.361349,930.0
6,20.906657,-99.315091,2163.0
7,20.954788,-99.315091,1617.0
8,21.002919,-99.315091,1419.0
9,21.051051,-99.315091,1395.0
10,21.099182,-99.315091,1439.0
11,20.906657,-99.268834,1788.0
12,20.954788,-99.268834,1177.0
13,21.002919,-99.268834,948.0
14,21.051051,-99.268834,816.0
15,21.099182,-99.268834,1190.0
