punto,lat,lon,elevation
0,19.210003,-99.581385,2601.0
1,19.203231,-99.602548,2634.0
2,19.209963,-99.602548,2628.0
3,19.216694,-99.602548,2629.0
4,19.203231,-99.59409,2620.0
5,19.209963,-99.59409,2617.0
6,19.216694,-99.59409,2611.0
7,19.203231,-99.585633,2611.0
8,19.209963,-99.585633,2608.0
9,19.216694,-99.585633,2602.0
10,19.209963,-99.577175,2596.0
11,19.216694,-99.577175,2592.0
12,19.209963,-99.568718,2588.0
13,19.216694,-99.568718,2584.0
14,19.209963,-99.56026,2587.0
15,19.216694,-99.56026,2582.0
