punto,lat,lon,elevation
0,20.993872,-102.158357,2094.0
1,20.912625,-102.210853,2055.0
2,20.95321,-102.210853,2113.0
3,20.993794,-102.210853,2090.0
4,21.034378,-102.210853,2042.0
5,21.074963,-102.210853,2001.0
6,20.912625,-102.16902,1901.0
7,20.95321,-102.16902,2099.0
8,20.993794,-102.16902,2080.0
9,21.034378,-102.16902,2033.0
10,21.074963,-102.16902,1985.0
11,20.912625,-102.127187,1851.0
12,20.95321,-102.127187,2102.0
13,20.993794,-102.127187,2077.0
14,21.034378,-102.127187,2075.0
15,21.074963,-102.127187,1863.0
