punto,lat,lon,elevation
0,17.847124,-100.319437,1389.0
1,17.609792,-100.419851,2113.0
2,17.728502,-100.419851,962.0
3,17.847212,-100.419851,874.0
4,17.965922,-100.419851,551.0
5,18.084632,-100.419851,714.0
6,17.609792,-100.307878,2788.0
7,17.728502,-100.307878,1748.0
8,17.847212,-100.307878,1793.0
9,17.965922,-100.307878,1749.0
10,18.084632,-100.307878,594.0
11,17.609792,-100.195905,1409.0
12,17.728502,-100.195905,1198.0
13,17.847212,-100.195905,1311.0
14,17.965922,-100.195905,1376.0
15,18.084632,-100.195905,415.0
