punto,lat,lon,elevation
0,20.768681,-102.514815,2070.0
1,20.735006,-102.559055,2253.0
2,20.76827,-102.559055,2099.0
3,20.801533,-102.559055,2080.0
4,20.701743,-102.527603,2057.0
5,20.735006,-102.527603,2039.0
6,20.76827,-102.527603,2069.0
7,20.801533,-102.527603,2065.0
8,20.834796,-102.527603,2062.0
9,20.701743,-102.496151,2003.0
10,20.735006,-102.496151,2037.0
11,20.76827,-102.496151,2072.0
12,20.801533,-102.496151,2044.0
13,20.834796,-102.496151,2064.0
14,20.701743,-102.464699,1983.0
15,20.735006,-102.464699,2059.0
16,20.76827,-102.464699,2042.0
17,20.801533,-102.464699,2042.0
