punto,lat,lon,elevation
0,19.877699,-101.027507,1837.0
1,19.814697,-101.069797,1839.0
2,19.846127,-101.069797,1837.0
3,19.877557,-101.069797,1838.0
4,19.814697,-101.040216,1847.0
5,19.846127,-101.040216,1838.0
6,19.877557,-101.040216,1838.0
7,19.908986,-101.040216,1835.0
8,19.814697,-101.010634,1850.0
9,19.846127,-101.010634,1838.0
10,19.877557,-101.010634,1840.0
11,19.908986,-101.010634,1838.0
12,19.940416,-101.010634,1835.0
13,19.877557,-100.981053,1837.0
14,19.908986,-100.981053,1835.0
15,19.940416,-100.981053,1864.0
