punto,lat,lon,elevation
0,18.967394,-102.131029,323.0
1,18.872665,-102.169468,193.0
2,18.919984,-102.169468,263.0
3,18.967303,-102.169468,312.0
4,19.014622,-102.169468,386.0
5,19.061942,-102.169468,604.0
6,18.872665,-102.12827,215.0
7,18.919984,-102.12827,257.0
8,18.967303,-102.12827,322.0
9,19.014622,-102.12827,392.0
10,19.061942,-102.12827,546.0
11,18.872665,-102.087071,210.0
12,18.919984,-102.087071,241.0
13,18.967303,-102.087071,318.0
14,19.014622,-102.087071,435.0
15,19.061942,-102.087071,476.0
