punto,lat,lon,elevation
0,18.225855,-97.280802,1132.0
1,18.164301,-97.364529,2297.0
2,18.205349,-97.364529,2253.0
3,18.246396,-97.364529,1747.0
4,18.287444,-97.364529,1347.0
5,18.164301,-97.315009,1514.0
6,18.205349,-97.315009,1471.0
7,18.246396,-97.315009,1265.0
8,18.287444,-97.315009,1154.0
9,18.164301,-97.265488,1154.0
10,18.205349,-97.265488,1113.0
11,18.246396,-97.265488,1190.0
12,18.287444,-97.265488,1089.0
13,18.164301,-97.215968,883.0
14,18.205349,-97.215968,1238.0
15,18.246396,-97.215968,982.0
16,18.287444,-97.215968,1071.0
