punto,lat,lon,elevation
0,18.767403,-97.667504,2058.0
1,18.754921,-97.726363,2011.0
2,18.77967,-97.726363,1973.0
3,18.730172,-97.699819,2008.0
4,18.754921,-97.699819,2040.0
5,18.77967,-97.699819,1996.0
6,18.804419,-97.699819,2020.0
7,18.730172,-97.673275,1983.0
8,18.754921,-97.673275,2029.0
9,18.77967,-97.673275,2059.0
10,18.804419,-97.673275,2137.0
11,18.730172,-97.646731,2029.0
12,18.754921,-97.646731,2067.0
13,18.77967,-97.646731,2133.0
14,18.804419,-97.646731,2368.0
15,18.754921,-97.620187,2200.0
