punto,lat,lon,elevation
0,18.184745,-98.39505,911.0
1,18.114607,-98.428634,1080.0
2,18.149657,-98.428634,1221.0
3,18.184707,-98.428634,1082.0
4,18.219756,-98.428634,1169.0
5,18.254806,-98.428634,1062.0
6,18.114607,-98.394801,1130.0
7,18.149657,-98.394801,913.0
8,18.184707,-98.394801,915.0
9,18.219756,-98.394801,997.0
10,18.254806,-98.394801,1440.0
11,18.114607,-98.360968,1096.0
12,18.149657,-98.360968,1034.0
13,18.184707,-98.360968,1109.0
14,18.219756,-98.360968,1138.0
15,18.254806,-98.360968,1309.0
