punto,lat,lon,elevation
0,17.987421,-94.672071,61.0
1,17.967611,-94.687113,49.0
2,17.977589,-94.687113,54.0
3,17.987568,-94.687113,47.0
4,17.997547,-94.687113,43.0
5,18.007525,-94.687113,56.0
6,17.967611,-94.677653,46.0
7,17.977589,-94.677653,39.0
8,17.987568,-94.677653,61.0
9,17.997547,-94.677653,72.0
10,18.007525,-94.677653,50.0
11,17.977589,-94.668194,35.0
12,17.987568,-94.668194,43.0
13,17.997547,-94.668194,63.0
14,18.007525,-94.668194,37.0
15,17.987568,-94.658735,34.0
16,17.997547,-94.658735,58.0
17,18.007525,-94.658735,33.0
