punto,lat,lon,elevation
0,19.001331,-99.395016,2519.0
1,18.927081,-99.461856,1832.0
2,18.976594,-99.461856,2097.0
3,19.026106,-99.461856,2579.0
4,19.075618,-99.461856,2778.0
5,18.927081,-99.42021,1995.0
6,18.976594,-99.42021,2353.0
7,19.026106,-99.42021,2666.0
8,19.075618,-99.42021,2881.0
9,18.927081,-99.378563,2089.0
10,18.976594,-99.378563,2447.0
11,19.026106,-99.378563,2702.0
12,19.075618,-99.378563,3045.0
13,18.976594,-99.336916,2283.0
14,19.026106,-99.336916,3302.0
15,19.075618,-99.336916,3340.0
