punto,lat,lon,elevation
0,20.924722,-101.798349,1799.0
1,20.8462,-101.856366,1738.0
2,20.898542,-101.856366,1740.0
3,20.950884,-101.856366,1748.0
4,21.003226,-101.856366,1753.0
5,20.8462,-101.809368,1828.0
6,20.898542,-101.809368,1807.0
7,20.950884,-101.809368,1781.0
8,21.003226,-101.809368,1755.0
9,20.8462,-101.762369,1836.0
10,20.898542,-101.762369,1785.0
11,20.950884,-101.762369,1900.0
12,21.003226,-101.762369,1781.0
13,20.8462,-101.715371,1842.0
14,20.898542,-101.715371,1772.0
15,20.950884,-101.715371,1777.0
