punto,lat,lon,elevation
0,18.463365,-99.765983,1902.0
1,18.445404,-99.815588,1615.0
2,18.481324,-99.815588,1780.0
3,18.517244,-99.815588,1735.0
4,18.409484,-99.784289,1352.0
5,18.445404,-99.784289,1603.0
6,18.481324,-99.784289,1826.0
7,18.517244,-99.784289,1985.0
8,18.409484,-99.752991,1602.0
9,18.445404,-99.752991,1837.0
10,18.481324,-99.752991,2030.0
11,18.517244,-99.752991,2299.0
12,18.409484,-99.721693,1193.0
13,18.445404,-99.721693,1906.0
14,18.481324,-99.721693,2085.0
15,18.517244,-99.721693,2419.0
