punto,lat,lon,elevation
0,19.916667,-101.21818,1831.0
1,19.886562,-101.271156,2142.0
2,19.917376,-101.271156,1831.0
3,19.948189,-101.271156,1831.0
4,19.886562,-101.244074,2022.0
5,19.917376,-101.244074,1831.0
6,19.948189,-101.244074,1831.0
7,19.886562,-101.216993,1861.0
8,19.917376,-101.216993,1831.0
9,19.948189,-101.216993,1831.0
10,19.886562,-101.189912,1840.0
11,19.917376,-101.189912,1831.0
12,19.948189,-101.189912,1831.0
13,19.886562,-101.162831,2014.0
14,19.917376,-101.162831,1831.0
15,19.948189,-101.162831,1831.0
