punto,lat,lon,elevation
0,17.210524,-97.455683,1845.0
1,17.179035,-97.475573,2019.0
2,17.201616,-97.475573,2016.0
3,17.224197,-97.475573,2151.0
4,17.246778,-97.475573,1931.0
5,17.269359,-97.475573,1975.0
6,17.179035,-97.455345,1672.0
7,17.201616,-97.455345,2002.0
8,17.224197,-97.455345,1915.0
9,17.246778,-97.455345,1814.0
10,17.269359,-97.455345,2012.0
11,17.156454,-97.435117,1779.0
12,17.179035,-97.435117,1841.0
13,17.201616,-97.435117,1786.0
14,17.224197,-97.435117,1932.0
15,17.246778,-97.435117,2052.0
16,17.269359,-97.435117,2163.0
