punto,lat,lon,elevation
0,26.640766,-99.907787,229.0
1,26.454963,-100.016725,251.0
2,26.546767,-100.016725,248.0
3,26.638572,-100.016725,299.0
4,26.730376,-100.016725,312.0
5,26.822181,-100.016725,213.0
6,26.454963,-99.932077,229.0
7,26.546767,-99.932077,219.0
8,26.638572,-99.932077,226.0
9,26.730376,-99.932077,209.0
10,26.822181,-99.932077,165.0
11,26.454963,-99.847429,213.0
12,26.546767,-99.847429,204.0
13,26.638572,-99.847429,180.0
14,26.730376,-99.847429,185.0
15,26.822181,-99.847429,189.0
16,26.454963,-99.762781,208.0
17,26.546767,-99.762781,188.0
18,26.638572,-99.762781,157.0
19,26.822181,-99.762781,144.0
