punto,lat,lon,elevation
0,17.829807,-98.564699,926.0
1,17.726803,-98.583339,1516.0
2,17.768024,-98.583339,971.0
3,17.809244,-98.583339,930.0
4,17.850464,-98.583339,1008.0
5,17.891685,-98.583339,1202.0
6,17.726803,-98.545898,968.0
7,17.768024,-98.545898,1440.0
8,17.809244,-98.545898,1126.0
9,17.850464,-98.545898,1185.0
10,17.891685,-98.545898,1195.0
11,17.932905,-98.545898,1303.0
12,17.726803,-98.508457,1389.0
13,17.768024,-98.508457,1803.0
14,17.809244,-98.508457,1408.0
15,17.932905,-98.508457,1140.0
