punto,lat,lon,elevation
0,17.44054,-98.993169,1404.0
1,17.415554,-99.031894,1165.0
2,17.440616,-99.031894,1368.0
3,17.465678,-99.031894,1881.0
4,17.49074,-99.031894,1849.0
5,17.415554,-99.008497,1275.0
6,17.440616,-99.008497,1298.0
7,17.465678,-99.008497,1532.0
8,17.49074,-99.008497,1960.0
9,17.390492,-98.985099,1262.0
10,17.415554,-98.985099,1451.0
11,17.440616,-98.985099,1576.0
12,17.465678,-98.985099,1746.0
13,17.49074,-98.985099,1714.0
14,17.390492,-98.961702,1683.0
15,17.415554,-98.961702,2137.0
16,17.440616,-98.961702,2016.0
17,17.465678,-98.961702,1870.0
