punto,lat,lon,elevation
0,19.397097,-99.821625,2603.0
1,19.294983,-99.890806,3089.0
2,19.346156,-99.890806,2781.0
3,19.39733,-99.890806,2628.0
4,19.499676,-99.890806,2884.0
5,19.346156,-99.843659,2736.0
6,19.39733,-99.843659,2590.0
7,19.448503,-99.843659,2555.0
8,19.499676,-99.843659,2725.0
9,19.294983,-99.796512,2810.0
10,19.346156,-99.796512,2712.0
11,19.39733,-99.796512,2599.0
12,19.448503,-99.796512,2570.0
13,19.499676,-99.796512,2599.0
14,19.346156,-99.749366,2705.0
15,19.39733,-99.749366,2603.0
16,19.448503,-99.749366,2564.0
