punto,lat,lon,elevation
0,28.615755,-109.751701,1139.0
1,28.519985,-109.829263,392.0
2,28.581019,-109.829263,474.0
3,28.642053,-109.829263,677.0
4,28.703087,-109.829263,630.0
5,28.519985,-109.778378,408.0
6,28.581019,-109.778378,523.0
7,28.642053,-109.778378,611.0
8,28.703087,-109.778378,471.0
9,28.519985,-109.727493,511.0
10,28.581019,-109.727493,822.0
11,28.642053,-109.727493,1034.0
12,28.703087,-109.727493,687.0
13,28.519985,-109.676609,713.0
14,28.581019,-109.676609,643.0
15,28.642053,-109.676609,1002.0
