punto,lat,lon,elevation
0,29.614535,-110.12899,510.0
1,29.577715,-110.250897,994.0
2,29.650645,-110.250897,1312.0
3,29.723574,-110.250897,989.0
4,29.504786,-110.175827,527.0
5,29.577715,-110.175827,631.0
6,29.650645,-110.175827,605.0
7,29.723574,-110.175827,554.0
8,29.504786,-110.100757,704.0
9,29.577715,-110.100757,624.0
10,29.650645,-110.100757,622.0
11,29.723574,-110.100757,744.0
12,29.504786,-110.025686,958.0
13,29.577715,-110.025686,961.0
14,29.650645,-110.025686,869.0
15,29.723574,-110.025686,963.0
