punto,lat,lon,elevation
0,20.405301,-101.840521,1870.0
1,20.361881,-101.996606,1677.0
2,20.448829,-101.996606,1699.0
3,20.535778,-101.996606,2059.0
4,20.274933,-101.89618,1677.0
5,20.361881,-101.89618,1680.0
6,20.448829,-101.89618,1868.0
7,20.535778,-101.89618,1991.0
8,20.274933,-101.795754,1774.0
9,20.361881,-101.795754,1730.0
10,20.448829,-101.795754,2088.0
11,20.535778,-101.795754,2244.0
12,20.274933,-101.695328,2058.0
13,20.361881,-101.695328,1725.0
14,20.448829,-101.695328,1759.0
15,20.535778,-101.695328,2081.0
