punto,lat,lon,elevation
0,20.403028,-103.205049,1537.0
1,20.356654,-103.26337,1810.0
2,20.38755,-103.26337,1639.0
3,20.418446,-103.26337,1767.0
4,20.356654,-103.227726,1687.0
5,20.38755,-103.227726,1568.0
6,20.418446,-103.227726,1545.0
7,20.449342,-103.227726,1542.0
8,20.356654,-103.192083,1604.0
9,20.38755,-103.192083,1560.0
10,20.418446,-103.192083,1523.0
11,20.449342,-103.192083,1515.0
12,20.356654,-103.156439,1639.0
13,20.38755,-103.156439,1561.0
14,20.418446,-103.156439,1518.0
15,20.449342,-103.156439,1512.0
