punto,lat,lon,elevation
0,16.922344,-96.854521,2167.0
1,16.896664,-96.872901,1976.0
2,16.913791,-96.872901,2541.0
3,16.930918,-96.872901,2616.0
4,16.948045,-96.872901,2329.0
5,16.896664,-96.857763,1924.0
6,16.913791,-96.857763,2201.0
7,16.930918,-96.857763,2222.0
8,16.948045,-96.857763,2001.0
9,16.896664,-96.842625,1921.0
10,16.913791,-96.842625,2002.0
11,16.930918,-96.842625,2012.0
12,16.948045,-96.842625,1822.0
13,16.896664,-96.827488,1646.0
14,16.913791,-96.827488,1675.0
15,16.930918,-96.827488,1725.0
