punto,lat,lon,elevation
0,27.814792,-107.55224,2379.0
1,27.640632,-107.849105,2241.0
2,27.640632,-107.724202,2306.0
3,27.756548,-107.724202,2428.0
4,27.872465,-107.724202,2361.0
5,27.988381,-107.724202,2518.0
6,27.756548,-107.599299,2401.0
7,27.872465,-107.599299,2308.0
8,27.988381,-107.599299,2409.0
9,27.640632,-107.474397,2406.0
10,27.756548,-107.474397,2246.0
11,27.872465,-107.474397,2321.0
12,27.988381,-107.474397,2463.0
13,27.640632,-107.349494,2126.0
14,27.756548,-107.349494,2574.0
15,27.872465,-107.349494,2410.0
