punto,lat,lon,elevation
0,18.788305,-97.323917,2113.0
1,18.783543,-97.344386,2550.0
2,18.793359,-97.344386,2542.0
3,18.773728,-97.333947,2675.0
4,18.783543,-97.333947,2456.0
5,18.793359,-97.333947,2490.0
6,18.803174,-97.333947,2480.0
7,18.773728,-97.323509,2576.0
8,18.783543,-97.323509,2239.0
9,18.793359,-97.323509,2356.0
10,18.803174,-97.323509,2430.0
11,18.783543,-97.313071,2268.0
12,18.793359,-97.313071,1887.0
13,18.803174,-97.313071,2112.0
14,18.783543,-97.302632,2412.0
15,18.793359,-97.302632,1845.0
