punto,lat,lon,elevation
0,16.953163,-96.585182,1596.0
1,16.937878,-96.594157,1608.0
2,16.94585,-96.594157,1605.0
3,16.953822,-96.594157,1590.0
4,16.961795,-96.594157,1590.0
5,16.969767,-96.594157,1578.0
6,16.937878,-96.585309,1621.0
7,16.94585,-96.585309,1603.0
8,16.953822,-96.585309,1596.0
9,16.961795,-96.585309,1588.0
10,16.969767,-96.585309,1573.0
11,16.937878,-96.57646,1624.0
12,16.94585,-96.57646,1613.0
13,16.953822,-96.57646,1597.0
14,16.961795,-96.57646,1583.0
15,16.969767,-96.57646,1571.0
